lane,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
support,Maokai,maokai,52.41,Karma,karma,52.53,1108,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,LeBlanc,leblanc,49.21,63,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Leona,leona,52.95,1018,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Lulu,lulu,49.21,1140,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Lux,lux,57.37,373,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Mel,mel,55.46,119,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Milio,milio,49.88,864,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Morgana,morgana,49.30,499,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Nami,nami,51.17,1917,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Nautilus,nautilus,52.33,1221,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Neeko,neeko,48.18,357,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Pantheon,pantheon,53.04,296,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Poppy,poppy,58.20,244,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Pyke,pyke,54.85,1134,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Rakan,rakan,50.09,585,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Rell,rell,56.30,341,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Renata Glasc,renata,47.14,140,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Senna,senna,50.00,540,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Seraphine,seraphine,51.03,439,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
